AC No., AC ,PC,District,Percentage of total population,,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC%,ST%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
54,Lohaghat,Almora (SC),Champawat,95-100,0-5,0-5,17.89,0.06,90-95,5-10,75-80,90-95,65-70,BJP,59.07,INC,36.68,BSP,4.25,BJP,54.80,INC,36.70,BSP,1.93
55,Champawat,Almora (SC),Champawat,90-95,5-10,0-5,15.95,0.62,75-80,20-25,75-80,90-95,65-70,INC,40.51,BSP,26.66,BJP,17.16,BJP,60.17,INC,32.34,BSP,1.94
56,Lalkuwa,Nainital-Udhamsingh Nagar,Nainital,90-95,0-5,0-5,13.62,0.57,85-90,10-15,80-85,85-90,70-75,IND,37.37,BJP,24.24,INC,20.57,BJP,66.80,INC,23.93,BSP,3.42
57,Bhimtal,Nainital-Udhamsingh Nagar,Nainital,95-100,0-5,0-5,26.34,0.19,90-95,5-10,80-85,90-95,70-75,BJP,37.85,BSP,26.50,INC,25.45,BJP,57.51,INC,27.24,BSP,8.39
58,Nainital (SC),Nainital-Udhamsingh Nagar,Nainital,90-95,0-5,0-5,28.30,0.25,60-65,35-40,85-90,90-95,80-85,INC,49.71,BJP,37.45,BSP,8.67,BJP,52.48,INC,37.52,BSP,3.53
59,Haldwani,Nainital-Udhamsingh Nagar,Nainital,65-70,30-35,0-5,9.18,0.46,0-5,95-100,80-85,85-90,75-80,INC,52.89,BJP,23.63,SP,16.69,BJP,49.49,INC,43.40,BSP,2.07
60,Kaladhungi,Nainital-Udhamsingh Nagar,Nainital,90-95,0-5,0-5,15.94,0.09,65-70,30-35,85-90,90-95,80-85,BJP,28.89,INC,25.88,IND,15.00,BJP,69.82,INC,22.98,BSP,2.30
61,Ramnagar,Garhwal,Nainital,70-75,20-25,5-10,23.52,2.50,60-65,35-40,75-80,85-90,70-75,INC,37.00,BJP,31.21,BSP,17.69,BJP,57.00,INC,35.72,BSP,3.13
62,Jaspur,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,50-55,35-40,10-15,15.66,0.00,65-70,30-35,70-75,80-85,60-65,INC,33.34,BSP,29.71,BJP,28.21,BJP,46.96,INC,40.47,BSP,8.28
63,Kashipur,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,60-65,25-30,5-10,11.56,1.75,35-40,60-65,75-80,85-90,70-75,BJP,38.72,INC,35.82,BSP,16.12,BJP,58.74,INC,31.59,BSP,5.27
64,Bajpur (SC),Nainital-Udhamsingh Nagar,Udhamsingh Nagar,55-60,20-25,15-20,20.95,7.75,75-80,20-25,65-70,75-80,55-60,INC,45.94,BJP,27.89,BSP,15.50,BJP,49.78,INC,36.74,BSP,9.10
65,Gadarpur,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,65-70,15-20,10-15,10.04,8.31,75-80,20-25,65-70,75-80,55-60,BJP,33.00,IND,26.95,BSP,16.98,BJP,58.19,INC,34.74,BSP,3.24
66,Rudrapur,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,80-85,5-10,10-15,14.31,1.09,30-35,65-70,70-75,80-85,65-70,BJP,39.78,INC,35.56,BSP,19.93,BJP,71.09,INC,22.77,BSP,2.97
67,Kichha,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,65-70,20-25,5-10,15.11,0.13,55-60,40-45,70-75,75-80,60-65,BJP,45.82,INC,34.53,BSP,11.08,BJP,53.98,INC,34.57,BSP,7.15
68,Sitarganj,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,65-70,20-25,5-10,9.13,6.84,75-80,20-25,70-75,75-80,60-65,BJP,39.69,BSP,22.60,INC,21.02,BJP,58.42,INC,30.73,BSP,6.48
69,Nanak Matta (ST),Nainital-Udhamsingh Nagar,Udhamsingh Nagar,65-70,5-10,20-25,6.59,34.72,75-80,15-20,70-75,80-85,65-70,BJP,39.56,INC,31.21,BSP,14.13,BJP,56.97,INC,31.06,BSP,5.57
70,Khatima,Nainital-Udhamsingh Nagar,Udhamsingh Nagar,85-90,5-10,5-10,13.77,24.38,85-90,5-10,75-80,85-90,65-70,BJP,29.91,INC,22.07,IND,20.11,BJP,52.44,INC,31.86,BSP,9.85
