AC No., AC ,PC,District,Percentage of total population,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC Pop.,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
41,Urmar,Hoshiarpur (SC),Hoshiarpur,30-35,0-5,60-65,34.37,85-90,10-15,80-85,85-90,80-85,INC,44.76,SAD,39.99,IND,6.12,BJP,34.30,INC,33.63,AAP,25.99
42,Sham Chaurasi (SC),Hoshiarpur (SC),Hoshiarpur,50-55,0-5,45-50,44.67,90-95,5-10,85-90,85-90,80-85,SAD,38.64,INC,33.92,BSP,19.99,INC,37.50,BJP,29.62,AAP,24.54
43,Hoshiarpur,Hoshiarpur (SC),Hoshiarpur,70-75,0-5,20-25,31.99,25-30,70-75,85-90,85-90,80-85,INC,47.95,BJP,42.24,BSP,5.26,INC,36.00,BJP,34.37,AAP,22.78
44,Chabbewal (SC),Hoshiarpur (SC),Hoshiarpur,50-55,0-5,40-45,45.36,95-100,0-5,80-85,85-90,75-80,SAD,42.74,INC,36.82,BSP,11.98,INC,35.32,BJP,28.86,AAP,25.09
45,Garhshankar,Anandpur Sahib,Hoshiarpur,60-65,0-5,35-40,38.62,85-90,10-15,80-85,85-90,75-80,SAD,41.96,INC,36.43,BSP,16.14,INC,32.07,SAD,31.00,AAP,22.49
46,Banga (SC),Anandpur Sahib,Nawanshahr,55-60,0-5,35-40,49.71,80-85,10-15,80-85,85-90,75-80,INC,36.96,SAD,34.13,BSP,18.90,AAP,34.79,INC,25.32,SAD,24.15
47,Nawan Shahr,Anandpur Sahib,Nawanshahr,50-55,0-5,40-45,40.66,65-70,25-30,80-85,85-90,75-80,INC,30.64,SAD,29.14,BSP,25.29,AAP,30.28,INC,25.51,SAD,25.26
48,Balachaur,Anandpur Sahib,Nawanshahr,65-70,0-5,25-30,29.51,80-85,10-15,75-80,85-90,65-70,SAD,35.88,BSP,21.39,INC,20.38,INC,34.95,SAD,34.26,AAP,14.57
49,Anandpur Sahib,Anandpur Sahib,Rupnagar,65-70,0-5,30-35,19.76,70-75,25-30,80-85,85-90,75-80,BJP,49.15,INC,42.96,BSP,3.13,SAD,42.36,INC,34.07,AAP,16.37
50,Rupnagar,Anandpur Sahib,Rupnagar,45-50,0-5,45-50,22.72,65-70,30-35,80-85,85-90,75-80,SAD,36.25,INC,28.51,PPOP,21.81,INC,34.18,SAD,33.49,AAP,25.37
51,Chamkaur Sahib (SC),Anandpur Sahib,Rupnagar,10-15,0-5,80-85,34.54,80-85,15-20,80-85,85-90,75-80,INC,41.26,SAD,38.50,PPOP,10.12,AAP,35.33,INC,29.82,SAD,28.98
52,Kharar,Anandpur Sahib,S.A.S. Nagar,35-40,0-5,60-65,27.36,40-45,50-55,80-85,85-90,75-80,INC,37.02,SAD,31.94,BSP,17.13,SAD,35.44,AAP,31.85,INC,27.67
53,S.A.S.Nagar,Anandpur Sahib,S.A.S. Nagar,35-40,0-5,60-65,14.93,30-35,65-70,85-90,90-95,80-85,INC,51.34,SAD,37.90,PPOP,7.27,AAP,37.51,SAD,32.16,INC,26.17
54,Bassi Pathana (SC),Fatehgarh Sahib (SC),Fatehgarh Sahib,10-15,0-5,80-85,34.31,80-85,15-20,80-85,80-85,75-80,SAD,45.11,INC,33.74,PPOP,11.20,AAP,39.64,INC,28.14,SAD,27.66
55,Fatehgarh Sahib,Fatehgarh Sahib (SC),Fatehgarh Sahib,20-25,0-5,75-80,29.30,70-75,25-30,75-80,80-85,70-75,INC,32.79,SAD,29.62,PPOP,28.75,AAP,34.59,INC,33.70,SAD,27.15
56,Amloh,Fatehgarh Sahib (SC),Fatehgarh Sahib,30-35,0-5,60-65,28.38,50-55,45-50,75-80,80-85,70-75,INC,34.85,SAD,32.14,PPOP,22.02,INC,36.07,SAD,32.14,AAP,27.94
57,Khanna,Fatehgarh Sahib (SC),Ludhiana,30-35,0-5,60-65,33.43,40-45,55-60,80-85,85-90,75-80,INC,38.36,SAD,32.16,PPOP,19.90,INC,35.38,AAP,33.83,SAD,27.03
58,Samrala,Fatehgarh Sahib (SC),Ludhiana,20-25,0-5,75-80,31.61,75-80,15-20,75-80,80-85,70-75,INC,44.71,SAD,37.41,IND,9.20,AAP,33.91,SAD,33.50,INC,29.25
59,Sahnewal,Fatehgarh Sahib (SC),Ludhiana,35-40,0-5,60-65,30.66,65-70,30-35,75-80,80-85,65-70,SAD,53.44,INC,37.60,BSP,3.62,SAD,37.68,INC,34.62,AAP,23.75
60,Ludhiana East,Ludhiana,Ludhiana,70-75,0-5,25-30,16.85,0-5,95-100,80-85,85-90,75-80,SAD,35.50,INC,31.25,IND,20.85,INC,32.58,SAD,26.30,IND,21.36
61,Ludhiana South,Ludhiana,Ludhiana,65-70,0-5,30-35,10.69,0-5,95-100,85-90,85-90,75-80,IND,55.84,SAD,19.55,INC,18.84,IND,44.60,INC,20.14,SAD,17.02
