AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
258,Handia,Bhadohi,Allahabad ,90-95,5-10,19.65,95-100,0-5,65-70,80-85,55-60,SP,48.51,PMSP,23.63,BSP,17.51,BJP,41.07,BSP,28.10,SP,23.45
259,Meja,Allahabad,Allahabad ,85-90,5-10,21.91,90-95,5-10,70-75,85-90,55-60,SP,28.40,BSP,27.93,IND,14.28,SP,32.91,BJP,32.27,BSP,22.50
260,Karachhana,Allahabad,Allahabad ,85-90,5-10,20.91,90-95,5-10,65-70,80-85,55-60,BSP,38.10,SP,37.88,IND,6.66,SP,38.67,BJP,29.91,BSP,19.88
261,Allahabad West,Phulpur,Allahabad ,80-85,15-20,19.25,30-35,65-70,75-80,80-85,70-75,BSP,40.11,AD,35.10,SP,10.64,BJP,54.72,SP,20.29,BSP,10.79
262,Allahabad North,Phulpur,Allahabad ,75-80,20-25,16.99,0-5,95-100,85-90,90-95,80-85,INC,37.75,BSP,26.66,BJP,24.10,BJP,61.90,INC,11.72,BSP,11.68
263,Allahabad South,Allahabad,Allahabad ,70-75,25-30,11.31,0-5,95-100,80-85,85-90,75-80,SP,29.44,BSP,29.16,BJP,22.85,BJP,51.44,SP,22.88,INC,16.12
264,Bara (SC),Allahabad,Allahabad ,95-100,0-5,27.63,90-95,5-10,65-70,75-80,50-55,SP,26.75,BSP,24.58,AD,14.89,BJP,30.23,BSP,24.31,SP,23.87
265,Koraon (SC),Allahabad,Allahabad ,90-95,5-10,28.74,95-100,0-5,65-70,75-80,50-55,BSP,24.79,CPM,20.49,BJP,16.91,BJP,33.18,SP,22.36,BSP,18.27
266,Kursi,Barabanki (SC),Bara Banki,70-75,25-30,25.92,90-95,5-10,60-65,65-70,50-55,SP,34.17,BSP,23.97,BJP,14.56,BJP,41.44,INC,22.49,BSP,17.42
267,Ram Nagar,Barabanki (SC),Bara Banki,70-75,20-25,17.21,95-100,0-5,55-60,65-70,45-50,SP,38.38,BSP,22.41,INC,18.47,BJP,43.21,INC,19.54,SP,19.49
268,Barabanki,Barabanki (SC),Bara Banki,70-75,20-25,20.87,65-70,30-35,65-70,75-80,60-65,SP,38.68,BSP,27.99,INC,11.13,BJP,38.90,INC,28.34,SP,16.70
269,Zaidpur (SC),Barabanki (SC),Bara Banki,70-75,25-30,30.11,85-90,5-10,60-65,70-75,50-55,SP,33.79,BSP,23.66,INC,22.87,BJP,42.48,INC,24.41,BSP,16.60
270,Dariyabad,Faizabad,Bara Banki,80-85,15-20,29.73,90-95,0-5,55-60,65-70,45-50,SP,35.70,BSP,27.26,INC,24.20,BJP,45.70,SP,22.30,BSP,14.50
271,Rudauli,Faizabad,Faizabad,70-75,25-30,24.12,90-95,5-10,55-60,65-70,45-50,BJP,32.66,SP,32.16,BSP,18.34,BJP,42.19,SP,20.80,INC,18.32
272,Haidergarh (SC),Barabanki (SC),Bara Banki,85-90,10-15,34.35,90-95,5-10,60-65,70-75,50-55,SP,33.62,BSP,27.49,BJP,21.69,BJP,47.27,BSP,19.19,INC,17.83
273,Milkipur (SC),Faizabad,Faizabad,85-90,5-10,26.48,95-100,0-5,65-70,75-80,55-60,SP,42.24,BSP,22.65,BJP,18.87,BJP,44.64,SP,27.13,BSP,13.98
274,Bikapur,Faizabad,Faizabad,80-85,10-15,23.86,90-95,0-5,70-75,75-80,60-65,SP,27.38,BSP,26.45,RLD,18.60,BJP,49.49,SP,17.34,BSP,16.71
275,Ayodhya,Faizabad,Faizabad,85-90,10-15,17.13,45-50,50-55,75-80,80-85,70-75,SP,28.74,BJP,25.93,BSP,17.41,BJP,57.68,SP,14.97,INC,12.68
276,Goshainganj,Ambedkar Nagar,Faizabad,90-95,5-10,21.36,95-100,0-5,70-75,80-85,60-65,SP,58.45,BSP,30.39,INC,3.57,BJP,47.65,BSP,23.13,SP,19.90
277,Katehari,Ambedkar Nagar,Ambedkar Nagar,85-90,10-15,24.66,95-100,0-5,70-75,80-85,60-65,SP,46.82,BSP,38.10,INC,5.89,BJP,45.36,BSP,27.85,SP,19.53
278,Tanda,Ambedkar Nagar,Ambedkar Nagar,65-70,30-35,23.06,70-75,25-30,70-75,80-85,65-70,SP,47.30,BSP,31.66,INC,9.35,BJP,39.64,SP,29.93,BSP,24.35
279,Alapur (SC),Sant Kabir Nagar,Ambedkar Nagar,85-90,10-15,27.61,95-100,0-5,70-75,80-85,60-65,SP,48.15,BSP,30.04,INC,6.99,BJP,39.01,BSP,26.74,SP,17.98
280,Jalalpur,Ambedkar Nagar,Ambedkar Nagar,85-90,10-15,26.66,90-95,5-10,70-75,80-85,60-65,SP,41.93,BSP,33.82,SBSP,9.33,BJP,36.66,BSP,35.33,SP,21.21
281,Akbarpur,Ambedkar Nagar,Ambedkar Nagar,85-90,10-15,20.86,70-75,20-25,70-75,80-85,60-65,SP,51.31,BSP,36.51,INC,4.11,BJP,39.19,BSP,30.21,SP,23.89
282,Balha (SC),Bahraich (SC),Bahraich,70-75,20-25,17.65,95-100,0-5,40-45,50-55,30-35,BJP,33.19,BSP,21.95,SP,19.79,BJP,43.72,SP,31.63,BSP,14.66
283,Nanpara,Bahraich (SC),Bahraich,60-65,35-40,15.32,85-90,10-15,45-50,50-55,35-40,INC,28.54,BSP,25.91,SP,14.10,BJP,47.42,SP,38.59,BSP,7.17
284,Matera,Bahraich (SC),Bahraich,50-55,45-50,15.51,95-100,0-5,40-45,50-55,30-35,SP,26.18,INC,24.43,BJP,18.19,SP,45.87,BJP,38.90,BSP,8.45
285,Mahasi,Bahraich (SC),Bahraich,75-80,20-25,14.30,95-100,0-5,45-50,55-60,35-40,BSP,25.04,BJP,23.50,SP,22.93,BJP,54.95,SP,27.53,BSP,10.62
286,Bahraich,Bahraich (SC),Bahraich,60-65,35-40,15.13,60-65,35-40,55-60,65-70,50-55,SP,29.51,INC,20.50,BJP,18.78,BJP,46.41,SP,37.15,BSP,10.50
287,Payagpur,Kaiserganj,Bahraich,75-80,20-25,14.95,95-100,0-5,50-55,60-65,40-45,INC,34.82,BSP,20.37,SP,17.73,BJP,39.85,SP,23.62,BSP,18.77
288,Kaiserganj,Kaiserganj,Bahraich,55-60,35-40,9.68,95-100,0-5,50-55,55-60,40-45,BJP,24.26,SP,20.52,BSP,20.11,BJP,39.72,SP,39.05,BSP,11.72
289,Bhinga,Shrawasti,Shrawasti,65-70,30-35,13.91,95-100,0-5,40-45,50-55,30-35,SP,31.72,INC,28.41,BJP,21.97,BJP,35.55,SP,33.69,BSP,19.55
290,Shrawasti,Shrawasti,Shrawasti,70-75,25-30,19.78,95-100,0-5,45-50,55-60,35-40,SP,34.29,BSP,28.61,BJP,18.30,BJP,37.63,SP,27.46,BSP,23.40
291,Tulsipur,Shrawasti,Balrampur,65-70,30-35,13.10,90-95,5-10,40-45,50-55,30-35,SP,39.35,BSP,19.58,INC,18.61,BJP,33.81,PECP,22.29,SP,19.12
292,Gainsari,Shrawasti,Balrampur,60-65,35-40,11.87,95-100,0-5,45-50,55-60,35-40,SP,33.75,BSP,19.65,BJP,19.45,BJP,30.04,SP,26.55,BSP,20.29
293,Utraula,Gonda,Balrampur,55-60,40-45,12.47,90-95,5-10,50-55,60-65,40-45,SP,24.04,BSP,23.44,BJP,19.36,BJP,37.12,SP,26.30,INC,14.18
294,Balrampur (SC),Shrawasti,Balrampur,65-70,30-35,14.03,80-85,10-15,50-55,60-65,40-45,SP,28.97,BJP,17.74,BSP,17.65,BJP,38.71,SP,24.96,BSP,18.18
295,Mehnaun,Gonda,Gonda,70-75,25-30,15.10,95-100,0-5,50-55,65-70,40-45,SP,40.05,BSP,21.58,PECP,18.50,BJP,38.19,SP,21.16,INC,15.08
296,Gonda,Gonda,Gonda,70-75,25-30,14.33,65-70,25-30,65-70,70-75,55-60,SP,37.20,BJP,28.30,IND,14.37,BJP,44.91,SP,18.60,BSP,13.89
297,Katra Bazar,Kaiserganj,Gonda,75-80,20-25,14.71,95-100,0-5,50-55,65-70,40-45,BJP,33.32,BSP,29.78,SP,26.06,BJP,38.43,SP,35.43,BSP,13.95
298,Colonelganj,Kaiserganj,Gonda,80-85,15-20,13.21,90-95,5-10,55-60,65-70,45-50,SP,43.37,BSP,35.86,INC,5.82,BJP,40.67,SP,29.09,BSP,20.42
299,Tarabganj,Kaiserganj,Gonda,90-95,5-10,17.26,95-100,0-5,55-60,70-75,45-50,SP,28.16,BSP,25.37,BJP,21.46,BJP,43.54,SP,32.54,BSP,14.01
300,Mankapur (SC),Gonda,Gonda,85-90,10-15,17.78,90-95,5-10,60-65,70-75,45-50,SP,50.17,BSP,32.77,BJP,4.33,BJP,51.20,SP,21.06,BSP,13.17
301,Gaura,Gonda,Gonda,75-80,20-25,16.20,95-100,0-5,55-60,65-70,45-50,SP,26.10,INC,21.77,BJP,20.22,BJP,34.63,SP,26.83,BSP,18.41
302,Shohratgarh,Domariyaganj,Siddharthnagar,70-75,25-30,16.26,90-95,0-5,55-60,65-70,45-50,SP,31.00,BSP,20.34,PECP,12.31,BJP,34.16,BSP,19.77,SP,17.67
303,Kapilvastu (SC),Domariyaganj,Siddharthnagar,70-75,25-30,17.17,90-95,5-10,60-65,70-75,45-50,SP,41.19,BJP,21.81,BSP,16.93,BJP,39.36,BSP,19.17,SP,12.31
304,Bansi,Domariyaganj,Siddharthnagar,75-80,20-25,17.13,90-95,5-10,60-65,70-75,45-50,BJP,28.10,SP,26.38,BSP,21.62,BJP,28.17,BSP,19.12,INC,17.94
305,Itwa,Domariyaganj,Siddharthnagar,60-65,30-35,14.07,95-100,0-5,50-55,60-65,40-45,SP,31.36,BSP,23.38,INC,22.98,BSP,27.82,SP,26.96,BJP,26.63
306,Doomariyaganj,Domariyaganj,Siddharthnagar,60-65,35-40,14.82,90-95,5-10,60-65,70-75,50-55,PECP,25.14,BSP,24.24,SP,23.49,BJP,29.39,SP,22.18,BSP,19.81
307,Harraiya,Basti,Basti,85-90,10-15,19.28,95-100,0-5,65-70,75-80,55-60,SP,43.33,BSP,32.91,INC,13.14,BJP,37.99,SP,33.55,BSP,22.00
308,Kaptanganj,Basti,Basti,85-90,10-15,20.95,95-100,0-5,65-70,75-80,55-60,BSP,36.05,SP,30.13,INC,24.94,BJP,30.96,SP,30.75,BSP,30.61
309,Rudhauli,Basti,Basti,75-80,20-25,18.34,95-100,0-5,60-65,75-80,50-55,INC,27.55,BSP,24.67,SP,18.94,BJP,32.94,SP,29.85,BSP,27.66
310,Basti Sadar,Basti,Basti,80-85,15-20,21.73,75-80,20-25,70-75,80-85,60-65,BSP,29.25,INC,18.76,BJP,17.72,BJP,37.07,BSP,28.00,SP,26.91
311,Mahadewa (SC),Basti,Basti,85-90,10-15,24.46,95-100,0-5,65-70,75-80,55-60,SP,45.84,BSP,35.23,BJP,5.96,SP,33.39,BJP,31.57,BSP,27.26
312,Menhdawal,Sant Kabir Nagar,Sant Kabir Nagar,70-75,20-25,16.60,90-95,5-10,60-65,70-75,50-55,SP,27.04,PECP,19.29,BSP,15.99,BJP,36.00,SP,22.96,BSP,19.80
313,Khalilabad,Sant Kabir Nagar,Sant Kabir Nagar,65-70,30-35,21.83,85-90,10-15,70-75,80-85,55-60,PECP,27.00,BSP,24.39,BJP,21.06,BJP,29.90,SP,23.88,BSP,23.83
314,Dhanghata (SC),Sant Kabir Nagar,Sant Kabir Nagar,85-90,10-15,27.00,95-100,0-5,65-70,75-80,55-60,SP,35.55,BSP,27.54,BJP,21.70,SP,32.77,BJP,32.15,BSP,23.17
315,Pharenda,Maharajganj,Mahrajganj,80-85,15-20,18.38,95-100,0-5,60-65,75-80,45-50,BJP,26.28,INC,18.97,BSP,18.68,BJP,39.22,BSP,24.27,SP,19.98
316,Nautanwa,Maharajganj,Mahrajganj,75-80,20-25,16.56,90-95,5-10,60-65,70-75,45-50,INC,40.56,SP,36.41,BSP,10.95,BJP,36.81,SP,28.26,BSP,21.87
317,Siswa,Maharajganj,Mahrajganj,80-85,15-20,18.92,90-95,5-10,60-65,70-75,45-50,SP,25.12,BJP,17.37,PECP,16.98,BJP,48.72,BSP,20.39,SP,18.18
318,Maharajganj (SC),Maharajganj,Mahrajganj,80-85,10-15,20.33,90-95,5-10,60-65,75-80,50-55,SP,39.11,BSP,22.39,BJP,20.95,BJP,46.44,BSP,23.31,SP,17.30
319,Paniyara,Maharajganj,Mahrajganj,80-85,15-20,17.50,95-100,0-5,60-65,75-80,50-55,BSP,26.56,BJP,24.63,SP,18.59,BJP,49.63,BSP,19.98,SP,18.98
320,Caimpiyarganj,Gorakhpur,Gorakhpur,90-95,5-10,16.86,95-100,0-5,60-65,75-80,50-55,NCP,36.63,SP,32.07,BSP,15.29,BJP,47.31,SP,26.26,BSP,17.49
321,Pipraich,Gorakhpur,Gorakhpur,85-90,10-15,19.06,90-95,5-10,60-65,75-80,50-55,SP,43.50,BSP,25.68,BJP,14.81,BJP,55.30,SP,21.11,BSP,16.50
322,Gorakhpur Urban,Gorakhpur,Gorakhpur,80-85,15-20,10.76,0-5,95-100,80-85,85-90,75-80,BJP,49.19,SP,20.42,BSP,14.43,BJP,64.50,SP,14.96,BSP,9.87
323,Gorakhpur Rural,Gorakhpur,Gorakhpur,85-90,10-15,13.14,50-55,40-45,70-75,80-85,60-65,BJP,31.31,SP,22.27,BSP,21.99,BJP,46.03,SP,25.41,BSP,18.90
324,Sahajanwa,Gorakhpur,Gorakhpur,90-95,5-10,23.22,90-95,5-10,70-75,80-85,55-60,BSP,29.42,BJP,22.37,IND,12.24,BJP,45.14,BSP,22.44,SP,21.20
325,Khajani (SC),Sant Kabir Nagar,Gorakhpur,90-95,5-10,27.86,95-100,0-5,70-75,80-85,55-60,BJP,35.09,BSP,29.37,SP,18.27,BJP,36.19,BSP,31.71,SP,20.36
326,Chauri-Chaura,Bansgaon (SC),Gorakhpur,90-95,5-10,24.60,95-100,0-5,65-70,75-80,50-55,BSP,29.28,SP,17.14,BJP,13.27,BJP,49.55,BSP,24.14,SP,17.18
327,Bansgaon (SC),Bansgaon (SC),Gorakhpur,90-95,5-10,28.32,95-100,0-5,70-75,80-85,55-60,BSP,35.64,SP,30.10,BJP,16.35,BJP,43.44,BSP,32.59,SP,13.28
328,Chillupar,Bansgaon (SC),Gorakhpur,90-95,5-10,26.29,90-95,5-10,70-75,80-85,60-65,BSP,30.81,SP,25.23,ABLTC,22.59,BJP,42.21,BSP,29.47,SP,13.74
329,Khadda,Kushi Nagar,Kushinagar,80-85,15-20,16.75,95-100,0-5,60-65,70-75,45-50,INC,21.94,SP,20.68,BSP,17.55,BJP,38.04,INC,28.29,BSP,16.68
330,Padrauna,Kushi Nagar,Kushinagar,75-80,20-25,14.98,90-95,5-10,60-65,75-80,50-55,BSP,22.40,INC,18.07,BJP,16.98,INC,36.57,BJP,35.66,BSP,13.17
331,Tamkuhi Raj,Deoria,Kushinagar,80-85,15-20,13.66,95-100,0-5,60-65,70-75,45-50,INC,27.03,BJP,24.05,SP,20.23,BJP,48.55,BSP,23.14,SP,14.72
332,Fazilnagar,Deoria,Kushinagar,75-80,20-25,14.39,95-100,0-5,65-70,75-80,50-55,BJP,26.74,BSP,23.80,SP,23.23,BJP,49.83,BSP,24.99,SP,15.98
333,Kushinagar,Kushi Nagar,Kushinagar,80-85,15-20,12.58,90-95,0-5,65-70,80-85,55-60,SP,37.13,BSP,23.90,INC,10.74,BJP,44.00,INC,28.79,SP,11.64
334,Hata,Kushi Nagar,Kushinagar,90-95,5-10,17.76,95-100,0-5,65-70,80-85,55-60,SP,30.02,BSP,21.02,IND,14.79,BJP,39.27,INC,27.16,SP,14.73
335,Ramkola (SC),Kushi Nagar,Kushinagar,85-90,10-15,17.24,90-95,5-10,65-70,75-80,50-55,SP,30.19,BJP,19.17,BSP,17.74,BJP,37.70,INC,28.79,BSP,14.83
336,Rudrapur,Bansgaon (SC),Deoria,90-95,5-10,15.94,90-95,5-10,65-70,75-80,50-55,INC,26.36,SP,21.56,BJP,20.21,BJP,50.96,BSP,21.18,SP,17.16
337,Deoria,Deoria,Deoria,90-95,5-10,13.25,70-75,25-30,75-80,85-90,65-70,BJP,33.88,BSP,19.86,SP,17.72,BJP,57.16,BSP,21.20,SP,13.25
338,Pathardeva,Deoria,Deoria,80-85,15-20,14.24,95-100,0-5,70-75,80-85,55-60,SP,32.98,BJP,30.47,BSP,17.18,BJP,49.06,BSP,26.27,SP,17.33
339,Rampur Karkhana,Deoria,Deoria,85-90,10-15,15.44,90-95,0-5,70-75,80-85,55-60,SP,29.17,IND,25.15,BSP,13.53,BJP,51.38,BSP,23.18,SP,16.27
340,Bhatpar Rani,Salempur,Deoria,85-90,10-15,13.60,95-100,0-5,70-75,80-85,55-60,SP,35.57,BSP,26.09,INC,12.29,BJP,55.81,SP,15.74,BSP,12.22
341,Salempur (SC),Salempur,Deoria,80-85,10-15,16.28,80-85,15-20,70-75,85-90,60-65,SP,33.79,BJP,22.39,BSP,20.19,BJP,48.67,BSP,19.17,SP,15.86
342,Barhaj,Bansgaon (SC),Deoria,90-95,5-10,17.38,90-95,5-10,70-75,80-85,55-60,SP,42.41,BSP,34.81,BJP,6.00,BJP,53.66,BSP,21.23,SP,15.16
343,Atrauliya,Lalganj (SC),Azamgarh,90-95,5-10,22.63,95-100,0-5,70-75,80-85,55-60,SP,52.30,BSP,28.90,SBSP,4.79,BJP,36.39,SP,36.10,BSP,20.84
344,Gopalpur,Azamgarh,Azamgarh,80-85,15-20,25.22,95-100,0-5,65-70,75-80,55-60,SP,47.66,BSP,29.17,BJP,6.79,SP,36.23,BJP,28.16,BSP,25.81
345,Sagri,Azamgarh,Azamgarh,85-90,10-15,24.78,90-95,0-5,65-70,75-80,55-60,SP,35.97,BSP,30.04,INC,18.86,SP,32.41,BJP,30.17,BSP,28.25
346,Mubarakpur,Azamgarh,Azamgarh,65-70,30-35,22.76,70-75,25-30,65-70,75-80,60-65,BSP,29.25,SP,24.25,BJP,21.59,SP,38.03,BSP,33.96,BJP,22.00
347,Azamgarh,Azamgarh,Azamgarh,85-90,10-15,21.80,70-75,20-25,75-80,80-85,65-70,SP,50.42,BSP,33.49,BJP,4.62,SP,38.75,BJP,33.13,BSP,21.89
348,Nizamabad,Lalganj (SC),Azamgarh,75-80,20-25,23.71,90-95,5-10,70-75,80-85,60-65,SP,42.24,BSP,26.48,BJP,14.57,BJP,33.09,SP,32.95,BSP,24.98
349,Phoolpur Pawai,Lalganj (SC),Azamgarh,80-85,15-20,23.63,95-100,0-5,70-75,80-85,60-65,SP,28.91,BSP,28.38,INC,15.37,BJP,37.39,SP,27.77,BSP,25.92
350,Didarganj,Lalganj (SC),Azamgarh,75-80,15-20,23.11,95-100,0-5,70-75,80-85,60-65,SP,36.56,BSP,35.30,RUC,19.41,BJP,37.10,BSP,26.40,SP,25.55
351,Lalganj (SC),Lalganj (SC),Azamgarh,85-90,10-15,34.76,95-100,0-5,70-75,80-85,60-65,SP,36.27,BSP,30.10,BJP,15.23,BJP,36.04,BSP,32.05,SP,22.73
352,Mehnagar (SC),Azamgarh,Azamgarh,90-95,5-10,30.60,95-100,0-5,70-75,80-85,55-60,SP,33.60,BSP,27.83,BJP,19.22,SP,31.45,BJP,30.25,BSP,29.54
353,Madhuban,Ghosi,Mau,90-95,5-10,23.20,95-100,0-5,70-75,80-85,60-65,BSP,27.88,SP,27.14,INC,14.26,BJP,43.44,BSP,22.85,SP,15.14
354,Ghosi,Ghosi,Mau,75-80,20-25,18.63,75-80,15-20,70-75,80-85,60-65,SP,35.48,BSP,28.00,QED,21.50,BJP,36.36,BSP,21.55,SP,16.80
355,Muhammadabad- Gohna (Sc),Ghosi,Mau,80-85,15-20,27.78,80-85,15-20,70-75,80-85,60-65,SP,28.91,BSP,27.19,BJP,15.71,BJP,31.21,BSP,27.62,QED,16.84
356,Mau,Ghosi,Mau,70-75,25-30,17.81,50-55,45-50,70-75,80-85,65-70,QED,31.24,BSP,28.61,SP,24.12,BJP,32.30,QED,22.89,BSP,20.10
357,Belthara Road (SC),Salempur,Ballia,85-90,10-15,21.18,95-100,0-5,70-75,80-85,60-65,SP,33.56,BSP,27.53,SBSP,20.81,BJP,41.46,BSP,28.11,SP,15.71
358,Rasara,Ghosi,Ballia,90-95,5-10,20.75,90-95,5-10,70-75,80-85,60-65,BSP,46.82,SP,17.53,SBSP,13.47,BJP,40.85,BSP,20.64,SP,16.22
359,Sikanderpur,Salempur,Ballia,85-90,5-10,17.51,90-95,5-10,70-75,80-85,60-65,SP,36.72,BSP,18.74,INC,16.04,BJP,38.13,SP,24.06,BSP,20.05
360,Phephana,Ballia,Ballia,90-95,5-10,15.38,90-95,5-10,70-75,80-85,55-60,BJP,30.14,SP,25.78,SBSP,21.69,BJP,33.75,SP,31.54,QED,15.57
361,Ballia Nagar,Ballia,Ballia,90-95,5-10,10.74,75-80,20-25,75-80,85-90,65-70,SP,34.74,QED,19.91,BSP,16.08,BJP,51.85,SP,21.51,BSP,10.82
362,Bansdih,Salempur,Ballia,95-100,0-5,9.95,80-85,15-20,65-70,75-80,50-55,SP,26.94,BJP,15.11,SBSP,14.68,BJP,45.05,SP,21.99,BSP,14.38
363,Bairia,Ballia,Ballia,95-100,0-5,12.55,95-100,0-5,65-70,80-85,55-60,SP,32.13,BJP,31.74,BSP,22.17,BJP,44.61,SP,29.27,BSP,14.58
364,Badlapur,Jaunpur,Jaunpur,90-95,5-10,21.86,95-100,0-5,70-75,85-90,55-60,SP,37.04,BSP,27.85,INC,11.63,BJP,37.56,BSP,23.92,SP,13.10
365,Shahganj,Jaunpur,Jaunpur,80-85,10-15,20.93,90-95,0-5,70-75,80-85,60-65,SP,38.10,BSP,32.87,BJP,18.46,BJP,35.99,BSP,23.88,SP,19.29
366,Jaunpur,Jaunpur,Jaunpur,70-75,20-25,16.32,60-65,35-40,70-75,80-85,60-65,INC,25.46,BSP,24.84,SP,23.89,BJP,39.80,BSP,21.31,SP,15.27
367,Malhani,Jaunpur,Jaunpur,90-95,5-10,21.11,95-100,0-5,70-75,85-90,55-60,SP,42.17,IND,25.89,BSP,23.69,BJP,26.08,SP,21.81,BSP,18.84
368,Mungra Badshahpur,Jaunpur,Jaunpur,90-95,5-10,22.36,95-100,0-5,70-75,85-90,55-60,BJP,26.83,BSP,23.58,SP,22.53,BJP,43.09,BSP,21.94,SP,19.67
369,Machhlishahr (SC),Machhlishahr (SC),Jaunpur,90-95,5-10,24.11,90-95,0-5,65-70,80-85,55-60,SP,44.06,BSP,31.01,BJP,14.37,BJP,41.07,BSP,27.54,SP,23.19
370,Mariyahu,Machhlishahr (SC),Jaunpur,85-90,5-10,21.40,90-95,5-10,70-75,80-85,55-60,SP,33.61,BSP,26.08,AD,21.57,BJP,48.80,BSP,25.92,SP,16.44
371,Zafrabad,Machhlishahr (SC),Jaunpur,90-95,5-10,21.79,90-95,0-5,70-75,80-85,55-60,SP,30.66,BSP,27.87,BJP,16.13,BJP,41.97,BSP,27.79,SP,18.97
372,Kerakat (SC),Machhlishahr (SC),Jaunpur,90-95,5-10,28.44,95-100,0-5,70-75,80-85,60-65,SP,32.36,BSP,27.47,BJP,20.72,BJP,38.16,BSP,30.36,SP,21.00
373,Jakhanian (SC),Ghazipur,Ghazipur,90-95,5-10,24.43,95-100,0-5,70-75,80-85,55-60,SP,35.83,BSP,28.31,JPS,13.19,BJP,31.39,BSP,27.37,SP,25.90
374,Saidpur (SC),Ghazipur,Ghazipur,90-95,5-10,23.60,90-95,0-5,70-75,80-85,60-65,SP,48.60,BSP,26.09,QED,13.01,BJP,29.63,SP,26.78,BSP,26.44
375,Ghazipur,Ghazipur,Ghazipur,85-90,10-15,16.59,70-75,25-30,70-75,80-85,60-65,SP,26.41,BSP,26.28,BJP,22.15,BJP,32.25,SP,26.66,BSP,21.65
376,Jangipur,Ghazipur,Ghazipur,90-95,5-10,21.51,95-100,0-5,70-75,80-85,55-60,SP,38.87,BSP,33.77,SBSP,11.60,BJP,31.42,SP,30.67,BSP,25.52
377,Zahoorabad,Ballia,Ghazipur,85-90,5-10,20.15,95-100,0-5,65-70,80-85,55-60,SP,33.02,BSP,27.86,SBSP,24.08,BJP,30.24,BSP,21.81,SP,20.67
378,Mohammadabad,Ballia,Ghazipur,85-90,5-10,17.90,90-95,5-10,70-75,80-85,55-60,QED,32.70,SP,29.12,BSP,24.55,BJP,33.51,QED,30.38,SP,16.97
379,Zamania,Ghazipur,Ghazipur,75-80,20-25,16.14,90-95,5-10,70-75,80-85,60-65,SP,41.52,BSP,26.86,QED,21.30,BJP,30.84,SP,29.28,BSP,21.05
380,Mughalsarai,Chandauli,Chandauli,80-85,15-20,18.31,60-65,35-40,70-75,75-80,60-65,BSP,31.54,SP,23.30,BJP,22.53,BJP,40.27,SP,24.60,BSP,24.31
381,Sakaldiha,Chandauli,Chandauli,90-95,5-10,23.17,95-100,0-5,70-75,85-90,60-65,IND,36.01,SP,32.31,BSP,23.19,BJP,35.98,BSP,29.09,SP,26.82
382,Saiyadraja,Chandauli,Chandauli,90-95,5-10,21.91,95-100,0-5,70-75,80-85,60-65,IND,29.23,PMSP,28.08,BSP,23.34,BJP,39.25,BSP,29.80,SP,19.67
383,Chakia (SC),Robertsganj (SC),Chandauli,90-95,5-10,28.12,95-100,0-5,65-70,75-80,55-60,SP,43.73,BSP,39.57,BJP,7.37,BJP,40.82,BSP,28.17,SP,20.60
384,Pindra,Machhlishahr (SC),Varanasi,90-95,5-10,18.37,95-100,0-5,70-75,85-90,60-65,INC,29.31,BSP,24.20,AD,22.44,BJP,51.53,BSP,20.60,SP,15.40
385,Ajagara (SC),Chandauli,Varanasi,95-100,0-5,20.41,95-100,0-5,70-75,80-85,60-65,BSP,32.35,SP,31.23,BJP,12.27,BJP,46.64,BSP,24.63,SP,17.87
386,Shivpur,Chandauli,Varanasi,90-95,5-10,15.81,75-80,20-25,70-75,80-85,60-65,BSP,26.45,SP,19.59,SBSP,17.79,BJP,48.20,BSP,24.20,SP,15.30
387,Rohaniya,Varanasi,Varanasi,90-95,5-10,13.01,70-75,25-30,75-80,80-85,65-70,AD,30.22,BSP,21.03,SP,13.64,BJP,54.78,AAP,17.56,BSP,9.14
388,Varanasi North,Varanasi,Varanasi,60-65,35-40,9.65,0-5,95-100,75-80,80-85,70-75,BJP,26.49,BSP,25.20,SP,20.67,BJP,55.93,AAP,21.48,INC,9.35
389,Varanasi South,Varanasi,Varanasi,70-75,25-30,3.62,0-5,95-100,80-85,80-85,75-80,BJP,38.22,INC,29.09,QED,13.51,BJP,55.30,AAP,28.13,INC,8.63
390,Varanasi Cantt.,Varanasi,Varanasi,70-75,25-30,8.51,0-5,95-100,80-85,85-90,75-80,BJP,32.05,INC,24.94,SP,20.99,BJP,60.09,AAP,23.33,INC,6.63
391,Sevapuri,Varanasi,Varanasi,90-95,5-10,14.68,85-90,5-10,70-75,80-85,60-65,SP,31.87,AD,20.71,BSP,18.12,BJP,55.18,BSP,11.51,AAP,11.22
392,Bhadohi,Bhadohi,Sant Ravidas Nagar (Bhadohi),80-85,15-20,23.18,75-80,20-25,65-70,80-85,55-60,SP,37.70,BSP,29.92,BJP,12.49,BJP,40.42,BSP,28.66,SP,20.49
393,Gyanpur,Bhadohi,Sant Ravidas Nagar (Bhadohi),90-95,5-10,20.62,90-95,5-10,65-70,80-85,55-60,SP,51.68,BSP,30.42,PMSP,7.93,BJP,39.99,SP,26.54,BSP,22.97
