AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
77,Iglas (SC),Hathras (SC),Aligarh,90-95,5-10,24.16,90-95,5-10,70-75,80-85,55-60,RLD,34.70,BSP,30.40,SP,17.53,BJP,58.54,BSP,20.78,SP,9.77
78,Hathras (SC),Hathras (SC),Mahamaya Nagar,85-90,10-15,28.25,60-65,35-40,70-75,80-85,60-65,BSP,28.88,BJP,24.65,INC,22.60,BJP,57.44,BSP,23.27,SP,12.49
79,Sadabad,Hathras (SC),Mahamaya Nagar,90-95,5-10,22.28,85-90,10-15,70-75,80-85,55-60,SP,33.84,BSP,31.09,RLD,27.21,BJP,48.84,BSP,18.75,RLD,15.41
80,Sikandra Rao,Hathras (SC),Mahamaya Nagar,85-90,10-15,23.62,85-90,10-15,65-70,75-80,50-55,BSP,45.81,SP,45.30,RLD,2.96,BJP,43.94,SP,27.13,BSP,20.74
81,Chhata,Mathura,Mathura,85-90,10-15,16.15,75-80,20-25,60-65,75-80,45-50,RLD,45.04,BSP,38.10,IND,5.64,BJP,60.60,RLD,14.36,BSP,13.77
82,Mant,Mathura,Mathura,90-95,5-10,21.53,95-100,0-5,65-70,80-85,50-55,RLD,43.11,AITC,35.16,BSP,15.97,BJP,41.99,RLD,34.80,BSP,15.75
83,Goverdhan,Mathura,Mathura,95-100,0-5,23.51,85-90,10-15,70-75,80-85,55-60,BSP,34.76,RLD,23.04,BJP,18.59,BJP,51.32,RLD,20.57,BSP,20.44
84,Mathura,Mathura,Mathura,85-90,10-15,14.63,10-15,85-90,75-80,80-85,65-70,INC,27.16,BJP,26.91,SP,26.44,BJP,67.03,RLD,15.24,BSP,10.88
85,Baldev (SC),Mathura,Mathura,90-95,0-5,24.74,85-90,10-15,70-75,80-85,55-60,RLD,41.53,BSP,24.74,BJP,23.74,BJP,43.74,RLD,29.35,BSP,20.52
86,Etmadpur,Agra (SC),Agra,85-90,5-10,22.48,60-65,35-40,70-75,80-85,60-65,BSP,33.90,SP,30.29,BJP,21.23,BJP,50.95,BSP,25.13,SP,19.07
87,Agra Cantt. (SC),Agra (SC),Agra,80-85,10-15,29.68,0-5,95-100,70-75,75-80,65-70,BSP,32.47,BJP,29.40,SP,21.89,BJP,52.51,BSP,32.51,SP,6.92
88,Agra South,Agra (SC),Agra,85-90,10-15,24.03,0-5,95-100,70-75,75-80,65-70,BJP,37.77,BSP,26.10,INC,20.31,BJP,54.85,BSP,33.42,SP,4.61
89,Agra North,Agra (SC),Agra,85-90,10-15,19.37,0-5,95-100,75-80,75-80,70-75,BJP,34.77,BSP,22.90,INC,19.45,BJP,64.84,BSP,22.89,SP,4.69
90,Agra Rural (SC),Fatehpur Sikri,Agra,90-95,5-10,26.93,75-80,20-25,70-75,80-85,55-60,BSP,34.84,SP,25.46,INC,19.34,BJP,50.19,BSP,28.82,SP,12.49
