No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Attari (SC),INC,Tarsem Singh D.C.,55335,42.53,SAD,Gulzar Singh Ranike,45133,34.69,10202,7.84,AAP,Jaswinder Singh Jahangir,22558,17.34,CPI,Gurdeep Singh,2581,1.98,BSP,Sukhwantjit Kaur,1088,0.84,900,0.69,2523,1.94,130118,BSP(A),Sarbjit Kumar,492,0.38,SLDP,Manjit Singh,449,0.35,DSP,Jagtar Singh Gill,431,0.33,IND,Mangat Singh,426,0.33,DPI(A),Mohinder Singh,385,0.30,APP,Hardev Singh,340,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tarn Taran,INC,Dr. Dharambir Agnihotri,59794,45.10,SAD,Harmeet Singh Sandhu,45165,34.07,14629,11.03,AAP,Kartar Singh Pehalwan,22950,17.31,CPIM,Sukhdev Singh,1115,0.84,SAD(A)(M),Gurjinder Singh,992,0.75,838,0.63,1719,1.30,132573,APP,Gurwinder Singh,732,0.55,BSP,Anantjit Singh,554,0.42,BSP(A),Balbir Singh Tirath Padhri,433,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Khem Karan,INC,Sukhpal Singh Bhullar,81897,53.01,SAD,Virsa Singh,62295,40.32,19602,12.69,AAP,Bikramajit Singh,6568,4.25,RMPI,Daljit Singh,1665,1.08,IND,Harjinder Singh,595,0.39,1484,0.96,0,0.00,154504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Patti,INC,Harminder Singh Gill,64617,45.06,SAD,Adesh Partap Singh Kairon,56254,39.23,8363,5.83,AAP,Ranjit Singh Cheema,18489,12.89,BSP,Avtar Singh,762,0.53,IND,Kartar Singh,577,0.40,758,0.53,1956,1.36,143413,IND,Harjinder Singh,547,0.38,IND,Sukhwant Singh Virdi Chuslewar,477,0.33,SAD(A)(M),Bhupinder Singh,470,0.33,BSP(A),Jatinder Singh Pannu,462,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Khadoor Sahib,INC,Ramanjeet Singh Sahota Sikki,64666,44.18,SAD,Ravinder Singh Brahampura,47611,32.53,17055,11.65,AAP,Bhupinder Singh,28644,19.57,CPI,Baldev Singh Dhunda,1756,1.20,SAD(A)(M),Karam Singh Bhoian,1257,0.86,820,0.56,1608,1.10,146362,BSP,Dyal Singh,770,0.53,APP,Daljit Singh,457,0.31,IND,Bagga Singh,381,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Baba Bakala (SC),INC,Santokh Singh,45965,35.19,AAP,Dalbir Singh Tong,39378,30.15,6587,5.04,SAD,Malkiat Singh,38265,29.29,RMPI,Amrik Singh,2925,2.24,APP,Baljit Singh Bhatti,1174,0.90,876,0.67,2045,1.57,130628,DSP,Kamaljit Singh,1071,0.82,BSP,Swinder Singh,974,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bholath,AAP,Sukhpal Singh Khaira,48873,49.90,SAD,Yuvraj Bhupinder Singh,40671,41.53,8202,8.37,INC,Ranjit Singh Rana,5923,6.05,SAD(A)(M),Rajinder Singh Fauji,708,0.72,BSP,Satpal,513,0.52,379,0.39,873,0.89,97940,APP,Gurbinder Singh,403,0.41,DBSP,Gurdeep Singh,176,0.18,DPI(A),Satpal Kimti,170,0.17,NCP,Raman Kumar,124,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kapurthala,INC,Rana Gurjit Singh,56378,53.42,SAD,Advocate Paramjit Singh,27561,26.11,28817,27.30,AAP,Sukhwant Singh Padda,18076,17.13,BSP(A),Manoj Kumar Nahar,1115,1.06,SAD(A)(M),Narinder Singh,605,0.57,654,0.62,1151,1.09,105540,IND,Sandeep Bajaj,557,0.53,RKSP,Satish Kumar Nahar,392,0.37,IND,Kulwant Singh,202,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sultanpur Lodhi,INC,Navtej Singh Cheema,41843,38.57,SAD,Upinderjit Kaur,33681,31.05,8162,7.52,AAP,Sajjan Singh Cheema,28017,25.83,BSP,Piyara Singh Jainpuri,1049,0.97,RMPI,Baldev Singh,885,0.82,616,0.57,2391,2.20,108482,BSP(A),Balwant Singh Sultanpuri,806,0.74,IND,Nirmal Singh,557,0.51,SAD(A)(M),Mukhtiyar Singh,397,0.37,IND,Lakhwinder Singh Desal,296,0.27,IND,Gurjot Singh,169,0.16,APP,Surat Singh,166,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Phagwara (SC),BJP,Som Parkash,45479,35.02,INC,Joginder Singh Mann,43470,33.48,2009,1.55,AAP,Jarnail Nangal,32374,24.93,BSP,Surinder Dhanda,6160,4.74,IND,Ashwani Kumar Sahota,498,0.38,1094,0.84,774,0.60,129849,BMUP,Tirath Ram,399,0.31,BSP(A),Tulsi Ram Khosla,375,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Phillaur (SC),SAD,Baldev Singh Khaira,41336,28.12,INC,Vikramjit Singh Chaudhary,37859,25.76,3477,2.37,AAP,Saroop Singh Kadiana,35779,24.34,BSP,Avtar Singh Karimpuri,28035,19.07,RMPI,Parmjit Randhawa,1857,1.26,953,0.65,1165,0.79,146984,LIP,Sanjay Kumar Shalu,401,0.27,BRVP,Balwinder Singh,399,0.27,IND,Yadwinder Singh,365,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Nakodar,SAD,Gurpratap Singh Wadala,56241,39.24,AAP,Sarwan Singh Hayer,37834,26.40,18407,12.84,INC,Jagbir Singh Brar,35633,24.86,BSP,Taranpal Singh,8284,5.78,IND,Gurbinder Singh Atwal,1664,1.16,1039,0.72,2627,1.83,143322,RMPI,Santokh Singh Bilga,1517,1.06,BSP(A),Inderjit Kaur,465,0.32,IND,Kusum Sharma,353,0.25,APP,Gurmail Singh Kaler,292,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Shahkot,SAD,Ajit Singh Kohar,46913,34.66,INC,Hardev Singh Ladi,42008,31.04,4905,3.62,AAP,Amarjit Singh Mehatpur,41010,30.30,BSP,Charanjit Kumar Nahar,952,0.70,CPIM,Bachittar Singh,903,0.67,849,0.63,2721,2.01,135356,IND,Gurbax Kaur,684,0.51,BSP(A),Tara Singh Gill,644,0.48,SAD(A)(M),Sulakhan Singh,547,0.40,APP,Harshdeep Singh Sandhu,325,0.24,IKL,Gurcharan Singh,299,0.22,AITC,Pal Singh,222,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kartarpur (SC),INC,Chaudhary Surinder Singh,46729,36.98,SAD,Seth Sat Paul,40709,32.22,6020,4.76,AAP,Chander Kumar Grewal,29981,23.73,BSP,Balwinder Kumar,5208,4.12,IND,Kashmir Singh Ghugshore,1383,1.09,1086,0.86,1254,0.99,126350,IND,Lubhaya Ram Thapar,290,0.23,DBSP,Gurmukh Singh Khosla,270,0.21,IND,Ex. Sub. Hari Singh,246,0.19,BSP(A),Paramjot Gill,167,0.13,IND,Usha Mahi,164,0.13,RKSP,Balvir Kaur,117,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jalandhar West (SC),INC,Sushil Kumar Rinku,53983,48.81,BJP,Mahinder Pal Bhagat,36649,33.14,17334,15.67,AAP,Darshan Lal Bhagat,15364,13.89,IND,Surinder Mahey,1345,1.22,BSP,Paramjeet Mall,1099,0.99,1155,1.04,999,0.90,110594,SHS,Subhash Goria,760,0.69,APP,Jugal Kishore,239,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jalandhar Central,INC,Rajinder Beri,55518,52.20,BJP,Manoranjan Kalia,31440,29.56,24078,22.64,AAP,Dr. Sanjiv Sharma,15269,14.36,BSP,Madan Bhatti,1261,1.19,AITC,Tarandip Singh,529,0.50,1044,0.98,1286,1.21,106347,SAD(A)(M),Parminder Singh Cheema,312,0.29,SHS,Rohit Joshi,309,0.29,NCP,Ranvir Singh,271,0.25,IND,Rajeshwar Kumar,254,0.24,KYP,Vikram Kuljit Singh,140,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jalandhar North,INC,Avtar Singh Junior,69715,56.00,BJP,K D Bhandari,37424,30.06,32291,25.94,AAP,Gulshan Sharma,13386,10.75,BSP,Hardwari Lal,1506,1.21,IND,Gaurav Luthra,240,0.19,1182,0.95,1038,0.83,124491,NCP,Surinder Singh Arora,219,0.18,APP,Naresh Gupta,208,0.17,KYP,Antarjot Singh,198,0.16,IND,Anil Kumar Singh,157,0.13,BMUP,Kewal Bhatti,153,0.12,HSS,Kewal Singh Bhasulla,103,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Jalandhar Cantt.,INC,Pargat Singh Powar,59349,46.80,SAD,Sarabjit Singh Makkar,30225,23.83,29124,22.97,AAP,Harkrishan Singh Walia,25912,20.43,BSP,Amrik Bagri,7987,6.30,BSP(A),Dharam Pal,503,0.40,1445,1.14,1390,1.10,126811,DPI,Harvinder Singh,440,0.35,SAD(A)(M),Gurmukh Singh,346,0.27,BRP,Manjit Singh,325,0.26,APP,Narinder Singh,279,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Adampur (SC),SAD,Pawan Kumar Tinu,45229,38.91,INC,Mohinder Singh Kaypee,37530,32.29,7699,6.62,AAP,Hans Raj Rana,25239,21.71,BSP,Sewa Singh,5405,4.65,CPIM,Gurdial Bains,791,0.68,621,0.53,1421,1.22,116236,SAD(A)(M),Nirmal Singh Bolina,672,0.58,BRP,Surjit Singh,497,0.43,JJJKP,Manjit Kaur,252,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mukerian,INC,Rajnish Kumar Babbi,56787,41.79,BJP,Arunesh Kumar,33661,24.77,23126,17.02,IND,Jangi Lal Mahajan,20542,15.12,AAP,Sulakhan Singh,17005,12.51,BSP,Karamjit Singh,2718,2.00,1018,0.75,4170,3.07,135901,SAD(A)(M),Gurvatan Singh,1227,0.90,RMPI,Dharminder Singh,1173,0.86,APP,Raj Mal,601,0.44,SHS,Sumitri Devi,524,0.39,BDP,Bhajan Singh,405,0.30,HSS,Kuldeep Kumar,240,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Dasuya,INC,Arun Dogra,56527,43.21,BJP,Sukhjit Kaur,38889,29.73,17638,13.48,AAP,Balbir Kaur,16330,12.48,IND,Jagmohan Singh,9926,7.59,BSP,Jagpreet Singh Sahi,3180,2.43,1193,0.91,4774,3.65,130819,IND,Paramjit,1310,1.00,IND,Baldev Singh,1024,0.78,APP,Lawrence Chaudhary,968,0.74,CPI,Sukha Singh,849,0.65,DPI(A),Charanjit Singh,251,0.19,HSS,Sarbjit Singh,244,0.19,SPP,Manjit Singh,128,0.10,,,,,,,,,,,,,,,,,,,,,,,,
41,Urmar,INC,Sangat Singh Gilzian,51477,40.83,SAD,Arbinder Singh Rasulpur,36523,28.97,14954,11.86,AAP,Jasvir Singh Gill (Raja),32445,25.73,BSP,Gurbakhash Singh,1720,1.36,SAD(A)(M),Kuldip Singh,1454,1.15,839,0.67,1617,1.28,126075,HSS,Vikas Jasra,543,0.43,APP,Virender Kumar,385,0.31,BDP,Gurdial Singh,348,0.28,DPI(A),Sugriv Singh,341,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sham Chaurasi (SC),INC,Pawan Kumar Adia,46612,37.62,AAP,Dr. Ravjot Singh,42797,34.54,3815,3.08,SAD,Mohinder Kaur Josh,24671,19.91,BSP,Bhagwan Dass,8009,6.46,APP,Satish Lamba,498,0.40,898,0.72,404,0.33,123889,BDP,Kewal Lal Heer,404,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hoshiarpur,INC,Sunder Sham Arora,49951,40.55,BJP,Tikshan Sud,38718,31.43,11233,9.12,AAP,Paramjit Singh Sachdeva,27481,22.31,BSP,Surinder Kumar,4442,3.61,APP,Mohinder Singh,293,0.24,1000,0.81,1294,1.05,123179,DSP,Maninder Pal,278,0.23,IND,Om Parkash Jakhu,278,0.23,BDP,Ajit Ram,235,0.19,IND,Santokh Singh,210,0.17,HND,Paramjit Singh,163,0.13,DPI(A),Jaspreet Kaur,130,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
