No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fatorda,GFP,Vijai Sardesai,10516,45.65,BJP,Damu G. Naik,9182,39.86,1334,5.79,AAP,Ranjit Cotta Carvalho,1479,6.42,INC,Jose D'Silva,1414,6.14,MAG,D. S. Naik (Dilip),155,0.67,220,0.95,72,0.31,23038,IND,Avin Vishwanath Naik,72,0.31,,,,,,,,,,,,,,,,,,,,,,,,
31,Margao,INC,Digambar Vasant Kamat,12105,54.15,BJP,Sharmad Raiturkar,7929,35.47,4176,18.68,AAP,Santosh Raiturkar,1832,8.20,MAG,Jayesh Raghunath Naik,216,0.97,,,,,271,1.21,0,0.00,22353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Benaulim,NCP,Churchill Alemao,9373,43.98,AAP,Royla Clarina Fernandes,4182,19.62,5191,24.35,IND,Caetano Rosario Silva,3995,18.74,INC,Edwino Barreto,2157,10.12,GSRP,John Fernandes,571,2.68,187,0.88,849,3.98,21314,GVP,Maria Da Luz Arlinda Gomes E Rebelo,492,2.31,IND,Judith Aurelia Baptista Almeida Alias Judith Almeida,357,1.67,,,,,,,,,,,,,,,,,,,,
33,Navelim,INC,Luizinho Faleiro,8183,38.33,IND,Avertano Furtado,5705,26.72,2478,11.61,IND,Edwin Cardozo (Cipru),3027,14.18,MAG,Satyaviajay Naik,1798,8.42,AAP,Siddharth Karapurkar,1287,6.03,249,1.17,1102,5.16,21351,GVP,Cruz Antonio Jorge Barretto,839,3.93,IND,Duarte Pires,263,1.23,,,,,,,,,,,,,,,,,,,,
34,Cuncolim,INC,Clafasio Dias,6415,28.59,IND,Joaquim Alemao,6382,28.44,33,0.15,BJP,Subhash Alias Rajan K. Naik,5047,22.49,AAP,Elvis Gomes,3437,15.32,GVP,John Inacio Monteiro,488,2.17,247,1.10,424,1.89,22440,SHS,Devendra Dessai,313,1.39,IND,Derick Dias,111,0.49,,,,,,,,,,,,,,,,,,,,
35,Velim,INC,Filipe Nery Rodrigues,10417,44.28,IND,Benjamin Silva,5164,21.95,5253,22.33,AAP,Cruz Silva,3423,14.55,BJP,Vinay Tari,1765,7.50,GFP,Anthony Rodrigues,1460,6.21,260,1.11,1038,4.41,23527,IND,Edrich Correia,335,1.42,IND,Jose Fernandes,236,1.00,GSRP,Domnic John Noronha,138,0.59,NCP,Frederick Borges,108,0.46,IND,Wilson Mazarello,98,0.42,IND,Constancio Fernandes,79,0.34,API,Cliffton D'Souza,44,0.19
36,Quepem,INC,Chandrakant (Babu) Kavlekar,13525,50.73,BJP,Prakash Shankar Velip,10933,41.01,2592,9.72,AAP,Joao Fernandes,1385,5.19,GSRP,Charles D'Silva,251,0.94,MAG,Sudesh Gaude,211,0.79,357,1.34,0,0.00,26662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Curchorem,BJP,Nilesh Cabral,12830,59.21,GSM,Shyam Gopinath Satardekar,3742,17.27,9088,41.94,INC,Rosario Mariano Fernandes,2778,12.82,AAP,James Fernandes,2028,9.36,,,,,290,1.34,0,0.00,21668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sanvordem,MAG,Deepak Prabhu Pauskar,14575,57.43,BJP,Ganesh Chandru Gaonkar,9354,36.86,5221,20.57,INC,Shankar Kirlapalkar,991,3.91,IND,Balkrishna Marathe,152,0.60,,,,,305,1.20,0,0.00,25377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sanguem,IND,Prasad S. Gaonkar,7636,33.66,BJP,Subhash Phal Dessai,6699,29.53,937,4.13,INC,Savitri Kavlekar,5736,25.29,IND,Dattaprasad Sawardekar,989,4.36,AAP,Ravindra Arjun Velip,658,2.90,208,0.92,757,3.34,22683,MAG,Vasudev Gaonkar,484,2.13,IND,Sudesh Noni Gaunkar,148,0.65,NCP,Rakhi Naik,125,0.55,,,,,,,,,,,,,,,,
40,Canacona,INC,Isidore Aleixinho Fernandes,10853,38.10,BJP,Vijay Pai Khot,8745,30.70,2108,7.40,IND,Ramesh Tawadkar,7739,27.16,AAP,Sandesh Telekar,452,1.59,MAG,Gourish Bandekar,398,1.40,302,1.06,0,0.00,28489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
