No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Barhapur,II,BJP,Sushant Kumar,78744,35.45,INC,Husain Ahmad,68920,31.02,9824,4.43,BSP,Fahad Yazdani,50684,22.82,IND,Dr Indra Dev Singh,6190,2.79,RLD,Radha,3449,1.55,556,0.25,13606,6.12,222149,IND,Kulveer Singh,3164,1.42,BHP,Nihal Singh,1586,0.71,IND,Abid Ansari,1468,0.66,IND,Tahir Husain,1110,0.50,IND,Nirmal Mishra,963,0.43,GKP,Ajay Kumar,845,0.38,IND,Monika Ahlawat,748,0.34,IND,Rohitash,596,0.27,PECP,Birjesh,562,0.25,IND,Chandra Shekhar,524,0.24,IND,Gajala Tausif,409,0.18,IND,Jaypal Singh,358,0.16,BSS,Toda Singh,345,0.16,RLSP,Samlesh Saini,277,0.12,IND,Shailendra Pratap,253,0.11,IND,Mukul,206,0.09,IND,Sadhana Singh,192,0.09,,,,,,,,,,,,,,,,,,,,
20,Dhampur,II,BJP,Ashok Kumar Rana,82169,42.58,SP,Tha. Mool Chand Chauhan,64305,33.33,17864,9.25,BSP,Muhammad Ghazi,42836,22.20,RLD,Naimuddin,659,0.34,ANC,Firasat,519,0.27,1020,0.53,1453,0.75,192961,BMF,Kampi,467,0.24,IND,Laxman,349,0.18,IND,Mohd. Danish,342,0.18,AKSP,Bhoopendra Kumar,295,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nehtaur (SC),II,BJP,Omkumar,76644,40.72,INC,Munnalal Premi,53493,28.42,23151,12.30,BSP,Vivek Singh,47059,25.00,RLD,Chandrapal Singh,6486,3.45,IND,Nirmala Devi,935,0.50,1273,0.68,2317,1.23,188207,GKP,Naipal,561,0.30,IND,Jitendra Singh,479,0.25,IND,Prem Singh,430,0.23,IND,Gajraj Singh,302,0.16,UPRP,Ranjeet Singh,294,0.16,BMF,Sunita Singh,251,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bijnor,II,BJP,Suchi,105548,42.95,SP,Ruchi Vira,78267,31.85,27281,11.10,BSP,Rashid Ahmad,49788,20.26,RLD,Rahul Singh,7799,3.17,GKP,Gaurav Kumar Dhiman,830,0.34,1241,0.50,2298,0.94,245771,IND,Rafeeq Ahmad,774,0.31,BMF,Bhupendra Singh,466,0.19,IND,Rahul Kumar,448,0.18,AIMF,Parvez Aqil,375,0.15,RMGP,Begraj,235,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Chandpur,II,BJP,Kamlesh Saini,92345,42.27,BSP,Mohammad Iqbal,56696,25.95,35649,16.32,SP,Mo. Arshad,36531,16.72,INC,Sher Baaz Khan,15826,7.24,RLD,Surendra Kumar Verma,11880,5.44,932,0.43,4274,1.96,218484,PECP,Farman,1457,0.67,CPIM,Amar Singh,799,0.37,IND,Bhupendra,600,0.27,IND,Ramcharan,584,0.27,IND,Jagat Singh,450,0.21,IND,Ilyas,384,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Noorpur,II,BJP,Lokendra Singh,79172,38.98,SP,Naim Ul Hasan,66436,32.71,12736,6.27,BSP,Gohar Iqbal,45902,22.60,MD,Vijaypal Singh,5338,2.63,RLD,Yogesh Urf Tillu Tyagi,2172,1.07,1115,0.55,2973,1.46,203108,PECP,Mahboob,811,0.40,IND,Amit Kumar Singh,753,0.37,IND,Harswaroop,482,0.24,IND,Dinesh Kumar,376,0.19,AKSP,Rajpal,308,0.15,IND,Ravendar Kumar,243,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Kanth,II,BJP,Rajesh Kumar Singh (Chunnu),76307,30.15,SP,Aneesurrehman,73959,29.22,2348,0.93,BSP,Mohd. Nasir,43820,17.31,AIMEIM,Fizaullah Chaudhry,22908,9.05,PECP,Muhammed Usman Ali,13931,5.50,1199,0.47,20984,8.29,253108,IND,Dinesh Kumar Saini,10924,4.32,RLD,Afak Ali Khan,3458,1.37,IND,Kashif,1744,0.69,SHS,Ramrakshpal,1086,0.43,NLP,Mohammad Amil,950,0.38,IND,Rafiullah Khan,866,0.34,NCP,Madan Lal Singh,861,0.34,IND,Mohd Israr,744,0.29,RC(J)P,Satish Kumar,351,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Thakurdwara,II,SP,Navab Jan,107865,42.07,BJP,Rajpal Singh Chauhan,94456,36.84,13409,5.23,BSP,Vijay Yadav,39821,15.53,AIMEIM,Ejaj Ahmad,9444,3.68,CPIM,Ateeq Ahmad,1096,0.43,1040,0.41,2698,1.05,256420,IND,Abid,771,0.30,RLD,Harpal Singh,598,0.23,BSS,Jitendra Kumar Sharma,505,0.20,IND,Shamshad Hussain,504,0.20,IND,Atul Kumar,320,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Moradabad Rural,II,SP,Haji Ikram Qureshi,97916,44.23,BJP,Hariom Sharma,69135,31.23,28781,13.00,RLD,Mohd Kamranul Haq,23404,10.57,BSP,Pannalal Urf Bablu Saini,20054,9.06,AIMEIM,Mohd Aslam,3503,1.58,639,0.29,6716,3.03,221367,IND,Faheem,2038,0.92,IND,Pranshu Joshi,1565,0.71,CPIM,Brahmswaroop,771,0.35,IND,Parul Sharma,363,0.16,IND,Naseruddin,361,0.16,IND,Kusum,347,0.16,IND,Mohd Nasir,287,0.13,SHS,Ramprasad,257,0.12,AVP,Vivek Gupta,234,0.11,RPI(A),Mohd Aslam Urf Pasa,185,0.08,BSS,Dinesh Kumar,165,0.07,RC(J)P,Dinesh Kumar Yadav,143,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Moradabad Nagar,II,BJP,Ritesh Kumar Gupta,123467,44.60,SP,Mohammad Yusuf Ansari,120274,43.45,3193,1.15,BSP,Ateeq Ahmed Saifi,24650,8.91,SHS,B.K Saini,2022,0.73,RLD,Rauf,1035,0.37,855,0.31,4502,1.63,276805,IND,Gyanendra Kumar,966,0.35,AIMEIM,Shahbuddin,947,0.34,PECP,Abdul Rauk,633,0.23,SUCI(C),Harkishor Singh,420,0.15,IND,Mamta Gupta,414,0.15,IND,Rishi Bhardwaj,223,0.08,NISHAD,Vinay Prakesh,212,0.08,RC(BJ),Drespal Singh,211,0.08,AVP,Rajeev Kumar Dubey,205,0.07,RMEP,Vijeta Gupta,145,0.05,RC(J)P,Radhey Shyam,126,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
