No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Bilhaur (SC),III,BJP,Bhagwati Prasad Sagar,102326,42.51,BSP,Kamlesh Chandra Diwakar,71160,29.57,31166,12.94,SP,Shiv Kumar Beriya,60023,24.94,RLD,Narpat Singh,1239,0.51,BSCP,Subhash,1092,0.45,1965,0.82,2879,1.20,240684,BSS,Surendra Singh,858,0.36,VPI,Baburam,781,0.32,IND,Manoj Kumar,627,0.26,LD,Ram Avatar,613,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Bithoor,III,BJP,Abhijeet Singh Sanga,113289,49.14,SP,Munindra Shukla,54302,23.55,58987,25.59,BSP,Ram Prakash Kushwaha,53586,23.24,BSCP,Puneet Kumar,1337,0.58,RLD,Karan Singh,1270,0.55,1900,0.82,4860,2.11,230544,IND,Vishal,1180,0.51,IND,Ravindra Kumar,683,0.30,IND,Neeraj Kumar,609,0.26,IND,Shailendra,607,0.26,JHJBP,Pushpa,520,0.23,IND,Pawan Kumar Singh,374,0.16,SHS,Surendra Rajpoot,366,0.16,JAM,Shailendri Kushwaha,312,0.14,VPI,Shashi Devi,209,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Kalyanpur,III,BJP,Nilima Katiyar,86620,48.69,SP,Satish Kumar Nigam,63278,35.57,23342,13.12,BSP,Deepu Kumar,25706,14.45,SHS,Shri Kuldeep Singh Chauhan,367,0.21,BIP,Shrimati Vijay Laxmi,337,0.19,921,0.52,683,0.38,177912,IND,Dheeraj Ku Gupta,253,0.14,PBI,Ram Pratap,168,0.09,SUCI(C),Shri Dharmdev,131,0.07,ADAP,Shri Deepak,131,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Govindnagar,III,BJP,Satya Dev Pachauri,112029,60.47,INC,Ambuj Shikla,40520,21.87,71509,38.60,BSP,Nirmal Tiwari,28795,15.54,BMUP,Virendra Kumar Sarvaria,998,0.54,BSCP,Shail Mishra,900,0.49,1247,0.67,769,0.42,185258,RLD,Raju Pal,769,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Sishamau,III,SP,Hazi Irfan Solanki,73030,47.35,BJP,Suresh Awasthi,67204,43.58,5826,3.77,BSP,Nand Lal Kori,11949,7.75,BKS,Ankit Srivastava,411,0.27,IND,Manmohan Mishra,229,0.15,791,0.51,608,0.39,154222,UPRP,Hira Lal Singh Jayswal,227,0.15,BIP,Kishan Lal Balmiki,152,0.10,BP,Sanjay Kumar Alias Sanjay Chak,120,0.08,RUC,Laddan,109,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Arya Nagar,III,SP,Amitabh Bajpai,70993,48.14,BJP,Salil Vishnoi,65270,44.26,5723,3.88,BSP,A Hasiv,6061,4.11,INC,Pramod Kumar Jaiswal,1596,1.08,AIMEIM,Rabiullah,1557,1.06,681,0.46,1307,0.89,147465,BMUP,Kishan Lal,497,0.34,IND,Triloki Nath,293,0.20,IND,Sunder Kashyap,259,0.18,IND,Chaman Kumar,258,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Kidwai Nagar,III,BJP,Mahesh Chandra,111407,54.31,INC,Ajay Kapoor,77424,37.74,33983,16.57,BSP,Sandeep Kumar,13273,6.47,BSCP,Ram Karan,610,0.30,IND,Sushil Kumar Verma,424,0.21,1117,0.54,879,0.43,205134,BMUP,Vinod Kumar,326,0.16,DSP,Pratima Chak,243,0.12,IND,Sitaram Shukla,171,0.08,VPI,Surjeet Singh,139,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Kanpur Cantt.,III,INC,Sohil Akhtar Ansari,81169,46.00,BJP,Raghunandan Singh Bhadauria,71805,40.69,9364,5.31,BSP,Naseem Ahmad,14079,7.98,SP,Mohd. Hassan Roomi,5954,3.37,SHS,Ranjit Singh Sangar,422,0.24,729,0.41,2304,1.31,176462,NCP,Manoj Kumar,393,0.22,RLD,Dharmendra Singh,307,0.17,BSCP,Sudha Gupta,293,0.17,RUC,Mohd Shahabuddin,274,0.16,SSAP,Mohit,229,0.13,IND,Santosh Kumar Kushawaha,221,0.13,NPPS,Danish Ali,215,0.12,SJP(CS),Mohd. Firoj,148,0.08,SJSP,Gaurav Kumar Mishra,140,0.08,RVIP,Dinesh Kumar Gupta,84,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Maharajpur,III,BJP,Satish Mahana,132394,55.93,BSP,Manoj Kumar Shukla,40568,17.14,91826,38.79,SP,Aruna Tomar,38752,16.37,INC,Rajaram Pal,18697,7.90,BSCP,Awadhesh,1374,0.58,1359,0.57,3587,1.52,236731,IND,Praveen Kumar,717,0.30,NCP,Vishva Nath Yadav,599,0.25,RLD,Dharmendra Tiwari,530,0.22,IND,Anita Devi,526,0.22,BMUP,Sudhir Kant,431,0.18,IND,Balwan Singh,404,0.17,IND,Pradhumn,380,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ghatampur (SC),III,BJP,Kamal Rani,92776,48.52,BSP,Saroj Kureel,47598,24.89,45178,23.63,INC,Nandram Sonker,40465,21.16,NISHAD,Rajendra,2813,1.47,BSCP,Ramjeevan,2016,1.05,2160,1.13,3391,1.77,191219,JAM,Baburam,1609,0.84,IND,Shrawan Kumar,910,0.48,OP,Vijay Gautam,872,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Madhaugarh,III,BJP,Moolchandra Singh,108737,43.04,BSP,Girish Kumar,62752,24.84,45985,18.20,INC,Vinod Chaturvedi,46915,18.57,MD,Ravindra Singh,22022,8.72,RLD,Prahalad Singh,1466,0.58,2582,1.02,8147,3.22,252621,IND,Rekha Jatav,1357,0.54,KMBS,Gopal Swaroop,1138,0.45,SSAP,Shakuntla Devi,1116,0.44,IND,Shivendra Singh,1092,0.43,SJRP,Ramkumar Shakyawar,1057,0.42,JANP,Ramjee,901,0.36,IND,Parashuram,785,0.31,RJSP,Vishnu Kumar Chaturvedi,701,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Kalpi,IV,BJP,Ku. Narendra Pal Singh,105988,46.22,BSP,Chhote Singh,54504,23.77,51484,22.45,INC,Umakanti,53160,23.18,IND,Balgovind,6468,2.82,RLD,Rahul Sharma,1883,0.82,2356,1.03,4972,2.17,229331,SSAP,Raja Rudravan Singh,1265,0.55,JAP(L),Nitesh Kumar,1073,0.47,IND,Jasram Singh,1022,0.45,CPI(ML)(L),Shiv Veer Singh,809,0.35,SJRP,Anjani,803,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Orai (SC),IV,BJP,Gauri Shankar,140485,52.98,SP,Mahendra Singh,61606,23.24,78879,29.74,BSP,Vijay Chaudhari,57541,21.70,BSCP,Shyam Kumar,1051,0.40,RVIP,Kailash,940,0.35,2169,0.82,1350,0.51,265142,SJRP,Dwarika Prasad,678,0.26,BMUP,Sukhram Singhh,672,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Babina,IV,BJP,"Rajeev Singh ""Parichha""",96713,42.02,SP,Yashpal Singh Yadav,79876,34.70,16837,7.32,BSP,Krishna Pal Singh Rajpoot,42614,18.51,JAM,Kalicharan Kushwaha,3282,1.43,RLD,Omveer Singh Kushwah,1052,0.46,1982,0.86,4643,2.02,230162,IND,Rohindra Kumar,1038,0.45,IND,Hariom,979,0.43,IND,Dhani Ram,742,0.32,SHS,Kiran Devi,482,0.21,SSAP,Pavan Yadav,440,0.19,IND,Om Prakash Ahirwar,372,0.16,RSJP,Ram Sevak Sharma Brahmchari,303,0.13,SJRP,Lalaram Verma,287,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Jhansi Nagar,IV,BJP,Ravi Sharma,117873,48.68,BSP,Sita Ram Kushwaha,62095,25.64,55778,23.04,INC,Rahul Rai,51242,21.16,PSP,Rakesh Kumar Sen,1965,0.81,CPI,Laxman Singh,1249,0.52,953,0.39,6769,2.80,242146,RLD,Umesh Yadav,968,0.40,SJRP,Arvind Kumar Verma,932,0.38,IND,Ram Kishan Raikwar,769,0.32,IND,Sanjeev Kumar Singh,715,0.30,BKKD,Kunwar Satyendra Pal Singh,672,0.28,IND,Mohammad Imran Khan,499,0.21,IND,Jitendra Bhadauriya,469,0.19,IND,Neeta Tiwari,421,0.17,LD,Er. Ramnath Sahu,393,0.16,SHS,Shankarlal Kushwaha,279,0.12,IND,Sunil Prajapati,247,0.10,JAM,Arun Kumar Sahu,222,0.09,HJC,Pt. Krishna Gopal Dwivedi,183,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Mauranipur (SC),IV,BJP,Biharilal Arya,98905,36.80,SP,Dr.Rashmi Arya,81934,30.48,16971,6.32,BSP,Prageelal Ahirwar,77919,28.99,SHS,Anil Shrivas,1416,0.53,IND,Dragpal Ahirwar,1229,0.46,3536,1.32,3844,1.43,268783,JAM,Jai Prakash (Anand),1070,0.40,IND,Tularam Ahirwar,958,0.36,BSCP,Manohar,695,0.26,BMUP,Smt. Brijkunwar,638,0.24,SJRP,Brijlal Bijrauniya,483,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Garautha,IV,BJP,Jawahar Lal Rajpoot,93378,40.81,SP,Deep Narayan Singh (Deepak Yadav),77547,33.89,15831,6.92,BSP,Dr. Arun Kumar Mishra,48387,21.15,JAM,Rajendra Pal,1197,0.52,RLD,Gulab Singh,1061,0.46,2645,1.16,4572,2.00,228787,VKP,Amar Singh (Fauji),926,0.40,IND,Ramgopal,831,0.36,IND,Madhupal Singh,789,0.34,IND,Sushanti Yadav,691,0.30,IND,Gyadeen,522,0.23,SJRP,Balaram Verma,492,0.22,BSCP,Atmaram,321,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Lalitpur,IV,BJP,Ramratan Kushwaha,156942,49.38,SP,Jyoti Singh,88687,27.90,68255,21.48,BSP,Santosh Kushwaha,55549,17.48,CPI,Parvat Lal Ahirwar,3479,1.09,IND,Pradeep Kumar Gupta,1602,0.50,4859,1.53,6732,2.12,317850,IND,Ganeshram Rajak,1556,0.49,IND,Sachendra,1305,0.41,BMUP,Omprakash,1186,0.37,IND,Kamalesh Kumar,1027,0.32,RKMP,Kranti,947,0.30,JANP,Rajendra Kumar Kushwah,711,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Mehroni (SC),IV,BJP,Manohar Lal,159291,51.76,BSP,Feran Lal,59727,19.41,99564,32.35,INC,Brij Lal Khabri,43171,14.03,SP,Ramesh Khatik,27031,8.78,CPI,Aradhana,4603,1.50,4092,1.33,9838,3.20,307753,IND,Sukh Dayal,1939,0.63,IND,Ram Lal,1868,0.61,IND,Manoj Kumar,1492,0.48,RSJP,Dashrath,1217,0.40,IND,Pritam Lal,1057,0.34,IND,Jitendra,786,0.26,IND,Kanhaiya,741,0.24,JANP,Rakesh Kumar,738,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Hamirpur,IV,BJP,Ashok Kumar Singh Chandel,110888,43.90,SP,Dr. Manoj Kumar Prajapati,62233,24.64,48655,19.26,BSP,Sanjeev Kumar Urf Sanjay Dixit,60543,23.97,NISHAD,Anuddin (Maulana Khan),8513,3.37,BSCP,Dharmendra,1931,0.76,3356,1.33,5142,2.04,252606,IND,Ramakant,1022,0.40,IND,Lallu Prasad,990,0.39,BMUP,Om Prakash,912,0.36,JANP,Maheshwarideen,841,0.33,VIP,Jamal Alam,748,0.30,ADSP,Ram Milan,629,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Rath (SC),IV,BJP,Manisha Anuragi,147526,60.96,INC,Gayadeen Anuragi,42883,17.72,104643,43.24,BSP,Anil Kumar Ahirwar,38710,16.00,JANP,Ajit Kumar,3083,1.27,IND,Gangotri,2334,0.96,4595,1.90,2880,1.19,242011,BMUP,Ramesh Chandra Verma,1674,0.69,RSSP,Devi Singh,1206,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Mahoba,IV,BJP,Rakesh Kumar Goswami,88291,44.76,SP,Siddh Gopal Sahu,56904,28.85,31387,15.91,BSP,Arimardan Singh,41915,21.25,BSCP,Munnalal Dhuriya,1670,0.85,RLD,Uttam Singh,1577,0.80,2720,1.38,4196,2.13,197273,JANP,Pramod Kumar,1227,0.62,IND,Ramswaroop,844,0.43,IND,Sanjay Kumar,843,0.43,IND,Rakesh Singh,726,0.37,FJP,Savita Singh,556,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Charkhari,IV,BJP,Brijbhushan Rajpoot Alias Guddu Bhaiya,98360,46.03,SP,Urmila Devi,54346,25.43,44014,20.60,BSP,Jitendra Kumar Mishra,47408,22.18,JAM,Hemlata Kushwaha,2178,1.02,BSCP,Susheel Kumar,2023,0.95,2775,1.30,6615,3.10,213705,RLD,Dilip Singh,1627,0.76,IND,Arjun Singh,1269,0.59,IND,Premchandra,1261,0.59,IND,Laxmi Prasad,1061,0.50,IND,Rambhuvan Singh Alias Prabhat,754,0.35,IND,Kunwar Lal,643,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Tindwari,IV,BJP,Brajesh Kumar Prajapati,82197,44.47,BSP,Jagdish Prasad Prajapati,44790,24.23,37407,20.24,INC,Daljeet Singh,42089,22.77,LD,Ramkaran Singh Bachchan,4688,2.54,CPI,Shyam Babu,3304,1.79,2875,1.56,4880,2.64,184823,IND,Yogendra Singh,1035,0.56,BMUP,Suresh Kumar Nishad,1034,0.56,IND,Shivvilas Singh,1000,0.54,JANP,Achchhe Lal,823,0.45,AMSP,Babita Devi,537,0.29,KYP,Dileep Kumar,451,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Baberu,IV,BJP,Chandrapal Kushwaha,76187,39.29,BSP,Kiran Yadav,53886,27.79,22301,11.50,SP,Bishambhar Singh,51693,26.66,IND,Rajbahadur,2881,1.49,CPI,Haseeb Ali,2788,1.44,3559,1.84,2906,1.50,193900,JANP,Shiv Sharan,1941,1.00,AMSP,Jagroop Bhaskar,965,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Naraini (SC),IV,BJP,Raj Karan Kabir,92412,45.30,INC,Bharat Lal Diwakar,47405,23.24,45007,22.06,BSP,Gayacharan Dinkar,44610,21.87,CPI,Daya Ram,3344,1.64,IND,Mata Prasad,2442,1.20,3655,1.79,10133,4.97,204001,RLD,Rameshchandra Kuril,2407,1.18,IND,Ramkripal,1899,0.93,AMSP,Babooram Verma,1503,0.74,IND,Ramcharan,1083,0.53,IND,Rajendra Kumar,972,0.48,BMUP,Ram Khelavan,826,0.40,IND,Ramkishor,770,0.38,IND,Arun Kumar,673,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Banda,IV,BJP,Prakash Dwivedi,83169,45.61,BSP,Madhusudan Kushwaha,50341,27.61,32828,18.00,INC,Vivek Kumar Singh,32223,17.67,IND,Mohd. Aslam,2736,1.50,CPI,Shyam Sunder Singh,1953,1.07,979,0.54,10933,6.00,182334,SSAP,Vimal Krishan,1642,0.90,IND,Mohd. Irfan,1399,0.77,JANP,Ram Prakash,1099,0.60,RLD,Ravindra Nath Gupta,991,0.54,BSCP,Gulab Chandra Kushwaha,861,0.47,IND,Kamta Prasad Trivedi,673,0.37,CPI(ML)(L),Ram Pravesh Yadav,576,0.32,BMUP,Ramautar,530,0.29,IND,Gyanendra Srivastava,515,0.28,IND,Sanjeev Gupta,476,0.26,SJRP,Ramesh Kumar,476,0.26,SHS,Amit,434,0.24,IND,Ramsharan,339,0.19,LD,Ranjeet,324,0.18,AMSP,Mohd. Taufique,300,0.16,JAM,Ravikant,298,0.16,,,,,,,,,,,,,,,,,,,,,,,,
236,Chitrakoot,IV,BJP,Chandrika Prasad Upadhyay,90366,40.85,SP,Veer Singh,63430,28.68,26936,12.17,BSP,Jagdish Prasad Gautam,47780,21.60,CPI,Amit Yadav,3378,1.53,NISHAD,Ugrasen,2679,1.21,3529,1.60,10037,4.54,221199,JAM,Chhedilal,2543,1.15,ABHM,Chandra Kishor Dwivedi,1746,0.79,RLD,Ashish Singh,1237,0.56,IND,Shiva Kant Shastri,1186,0.54,BMUP,Durgesh,1147,0.52,IND,Satynarayan,1136,0.51,SJRP,Chandan Singh,1042,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Manikpur,IV,BJP,R.K. Singh Patel,84988,43.68,INC,Sampat Pal,40524,20.83,44464,22.85,BSP,Chandrabhan Singh Patel,32498,16.70,BMUP,Daddu Prasad,9697,4.98,NISHAD,Sukhlal Nishad,5329,2.74,3752,1.93,17769,9.13,194557,RLD,Dinesh Prasad,4611,2.37,RAJSP,Akhilesh Kumar,2203,1.13,IND,Ramdayal,2102,1.08,IND,Shekh Khudabakhs,1959,1.01,IND,Satyadev,1848,0.95,JAM,Hajari Lal,1618,0.83,SWP,Abhishek Dwivedi,1249,0.64,SHS,Saryu Prasad Keshrvani,1239,0.64,IND,Indrapal,940,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Jahanabad,IV,AD(S),Jai Kumar Singh Jaiki,81438,44.87,SP,Madangopal Verma,33832,18.64,47606,26.23,BSP,Ram Narayan Nishad,32010,17.64,RLD,Aditya Pandey,21812,12.02,BSCP,Vivek Kumar,2117,1.17,1262,0.70,9029,4.97,181500,ABSD,Prem Narayan,1519,0.84,JHJBP,Manoj Kumar,1262,0.70,BSS,Grish Chandra,1230,0.68,SarD,Shriram,856,0.47,JANP,Anoop Sachan,853,0.47,LD,Shrinarayan,783,0.43,PMSP,Hari Prasad Nishad,756,0.42,IND,Jagdishwar,726,0.40,FJP,Krishna Dutt,579,0.32,B(I)RP,Shivnarayan,465,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Bindki,IV,BJP,Karan Singh Patel,97996,53.27,SP,Rameshwar Dayal,41618,22.62,56378,30.65,BSP,Sukhdev Prasad Verma,32297,17.56,INC,Abhimanyu Singh,2002,1.09,LD,Amarjeet Singh Jansewak,1745,0.95,2142,1.16,6171,3.35,183971,RLD,Shaheen Hasan,1561,0.85,IND,Sewalal Sonkar,1540,0.84,ABSD,Acharya Subhash Chandra Tripathi,1493,0.81,JHJBP,Rambabu,608,0.33,BMUP,Rita Devi,542,0.29,FJP,Mubarak Ali,427,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Fatehpur,IV,BJP,Vikram Singh,89481,45.85,SP,Chandra Prakash Lodhi,57983,29.71,31498,16.14,BSP,Sameer Trivedi,35548,18.21,CPIM,Gaya Prasad,2013,1.03,IND,Saurabh Mishra,1744,0.89,1961,1.00,6438,3.30,195168,RLD,Vikram Singh Lodhi,1614,0.83,IND,Raj Kumar Lodhi,909,0.47,SRP,Mo. Anwar Ali,815,0.42,PSP,Ramesh Kumar Gupta,677,0.35,IND,Durga Prasad Gupta,548,0.28,IND,Ganga Prasad Singh Lodhi,513,0.26,IND,Babu Ram,480,0.25,BSCP,Kamlesh Kumari,456,0.23,BMUP,Suresh,426,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Ayah Shah,IV,BJP,Vikas Gupta,81203,53.80,SP,Ayodhya Prasad,29238,19.37,51965,34.43,BSP,Rambahadur,27365,18.13,PECP,Abbas Mehndi,2159,1.43,RLD,Dev Kumar,1708,1.13,1600,1.06,7661,5.08,150934,IND,Sukhraj,1691,1.12,IND,Hemlata,1526,1.01,IND,Bhola Nath,953,0.63,IND,B.L.Rai,823,0.55,IND,Ramraj,788,0.52,IND,Krishna Pal Awasthi,458,0.30,IND,Raj Kumar,448,0.30,BKRP,Horalal,358,0.24,PMSP,Chhotelal,333,0.22,IND,Krishna Pal,283,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Husainganj,IV,BJP,Ranvendra Pratap Singh Urf Dhunni Bhaiya,73595,41.90,INC,Usha Maurya,55002,31.31,18593,10.59,BSP,Mo. Asif,34415,19.59,CPI,Rakesh Prajapati,3416,1.94,RLD,Pappu Singh,2291,1.30,2361,1.34,4584,2.61,175664,IND,Rajesh Kumar Sahu (Raju Sahu),1275,0.73,IND,Israr,755,0.43,FJP,Shamsher Singh,724,0.41,SHS,Ashis,699,0.40,BSP(K),Shamshad Ahmad,647,0.37,ALD,Kuldeep Urf Kuldeepak Singh Pal,484,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Khaga (SC),IV,BJP,Krishna Paswan,94954,51.45,INC,Om Prakash Gihar,38520,20.87,56434,30.58,BSP,Sunil Kumar,38359,20.78,CPI,Heera Lal,4293,2.33,RLD,Rajesh Rao,2846,1.54,3801,2.06,1798,0.97,184571,BMUP,Anil Kumar,1798,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Rampur Khas,IV,INC,Aradhana Mishra 'Mona',81463,47.74,BJP,Nagesh Pratap Singh Urf Chhote Sarkar,64397,37.74,17066,10.00,BSP,Ashok Singh,7933,4.65,CPI,Kamaruddin,3472,2.03,NCP,Surendra Singh,3055,1.79,1595,0.93,8740,5.12,170655,SHS,Gyanendra Singh,1495,0.88,MWSP,Vandna Gupta,1293,0.76,RLD,Arvind Kumar,1207,0.71,BMUP,Kamta Patel,902,0.53,LD,Ravindra Kumar,870,0.51,BRBSVP,Surendra Bahadur,857,0.50,IND,Naveen Pratap Singh,645,0.38,SPOI,Nagesh Singh,542,0.32,PPP,Durgesh Kumar,496,0.29,ARP,Jagram Yadav,433,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Babaganj (SC),IV,IND,Vinod Kumar,87778,52.26,BJP,Pawan Kumar,50618,30.13,37160,22.13,BSP,Daya Ram,17205,10.24,IND,Ram Saran,3351,1.99,BMUP,Sanjay Kumar,2298,1.37,3386,2.02,3339,1.99,167975,IND,Sitaram,1936,1.15,IND,Kuwar Bharati,1403,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Kunda,IV,IND,Raghuraj Pratap Singh,136597,67.95,BJP,Janki Sharan,32950,16.39,103647,51.56,BSP,Parvez Akhtar,17261,8.59,IND,Bhagwandeen,5514,2.74,IND,Ram Kripal,2615,1.30,3992,1.99,2109,1.05,201038,BMUP,Jiyalal,2109,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
