No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tadubi (ST),II,NPP,N. Kayisii,17115,41.99,BJP,M. Francis Ngajokpa,15816,38.81,1299,3.19,NPF,K. Raina,6614,16.23,LJSP,Dilungheing,354,0.87,MNDF,L. Hingba Thomas,330,0.81,223,0.55,305,0.75,40757,INC,R.S. Henry Hiilii,305,0.75,,,,,,,,,,,,,,,,,,,,
50,Kangpokpi,I,BJP,Nemcha Kipgen,13485,51.74,IND,Kharga Tamang,11188,42.92,2297,8.81,NPF,Athikho Solomon Enah,875,3.36,NCP,Soshim Keishing,228,0.87,,,,,289,1.11,0,0.00,26065,,,,,,,,,,,,,,,,,,,,,,,,
51,Saitu (ST),I,INC,Ngamthang Haokip,19467,53.49,BJP,Haokholet Kipgen,15650,43.00,3817,10.49,NPF,Sehpu Haokip,1166,3.20,,,,,,,,,110,0.30,0,0.00,36393,,,,,,,,,,,,,,,,,,,,,,,,
52,Tamei (ST),II,NPF,Awangbow Newmai,15933,49.34,BJP,Z. Kikhonbou Newmai,15186,47.02,747,2.31,INC,G.N. Kumuiteung (Dr. Aku),1136,3.52,,,,,,,,,40,0.12,0,0.00,32295,,,,,,,,,,,,,,,,,,,,,,,,
53,Tamenglong (ST),II,BJP,Samuel Jendai Kamei,13023,53.44,NPF,Janghemlung Panmei,11019,45.21,2004,8.22,INC,Jangamlung Panmei,215,0.88,,,,,,,,,114,0.47,0,0.00,24371,,,,,,,,,,,,,,,,,,,,,,,,
54,Nungba (ST),II,INC,Gaikhangam,10255,52.16,BJP,Adim Pamei,5108,25.98,5147,26.18,LJSP,Pou Mathiupuang Gonmei,4111,20.91,AITC,Kamei William Kabui,110,0.56,,,,,75,0.38,0,0.00,19659,,,,,,,,,,,,,,,,,,,,,,,,
55,Tipaimukh (ST),I,INC,Dr. Chaltonlien Amo,4997,42.35,BJP,Dr. Lallukhum Fimate,4371,37.05,626,5.31,NPP,Ngursanglur Sanate,2167,18.37,IND,Ngurrivung,132,1.12,IND,Thangthatling Sinate,106,0.90,25,0.21,0,0.00,11798,,,,,,,,,,,,,,,,,,,,,,,,
56,Thanlon (ST),I,BJP,Vungzagin Valte,9752,71.25,INC,Chinkholal Thangsing,2583,18.87,7169,52.38,LJSP,Thangkhangin,795,5.81,NPP,T. Nengzakham Tombing,413,3.02,IND,P. Khamsanglian,107,0.78,37,0.27,0,0.00,13687,,,,,,,,,,,,,,,,,,,,,,,,
57,Henglep (ST),I,BJP,T. Thangzalam Haokip,8438,35.48,INC,T. Manga Vaiphei,8170,34.35,268,1.13,NPP,Letzamang Haokip,5146,21.64,MNDF,Mangcha Gangte,1303,5.48,NPF,Thongzamlien,547,2.30,71,0.30,107,0.45,23782,AITC,Dr. Jainson Haokip,107,0.45,,,,,,,,,,,,,,,,,,,,
58,Churachandpur (ST),I,BJP,V. Hangkhanlian,10246,30.28,NPP,Phungzathang Tonsing,9632,28.46,614,1.81,NEIDP,Paukhansuan Khuptong,6411,18.95,RPI(A),Thangbiaklian Hangzo,3712,10.97,IND,Chintwahlian @ C.T. Lian Guite,3040,8.98,108,0.32,691,2.04,33840,INC,Haukhanthang,535,1.58,IND,Dr. D.K. Mang,156,0.46,,,,,,,,,,,,,,,,
59,Saikot (ST),I,INC,T. N. Haokip,16354,48.25,BJP,Paokholal Haokip,11253,33.20,5101,15.05,LJSP,Holkholun Lhungdim,6096,17.99,,,,,,,,,189,0.56,0,0.00,33892,,,,,,,,,,,,,,,,,,,,,,,,
60,Singhat (ST),I,INC,Ginsuanhau,8131,44.35,BJP,Chinlunthang,6969,38.01,1162,6.34,NPP,Henlianthang Thanglet,3124,17.04,,,,,,,,,111,0.61,0,0.00,18335,,,,,,,,,,,,,,,,,,,,,,,,
